0,1,2,3
-12134083,-47620622,-14467737,-18724953
-5187797,-45719662,-14468827,-18725790
-5187887,-45719701,-14468752,-18725795
-5187844,-45719667,-14468740,-18725736
-5187872,-45719601,-14468761,-18725803
-5187848,-45719633,-14468729,-18725770
-5187790,-45719651,-14468760,-18725841
-5187817,-45719616,-14468749,-18725813
-5187835,-45719657,-14468763,-18725860
-5187877,-45719600,-14468748,-18725846
-5187850,-45719622,-14468776,-18725915
-5187739,-45719607,-14468671,-18725878
-5187843,-45719623,-14468836,-18725966
-5187806,-45719559,-14468756,-18725955
-5187818,-45719697,-14468757,-18725986
-5187770,-45719615,-14468755,-18725999
