x,y
0.26,0.04
-0.22,0.1
-0.21,0.09
-0.24,0.23
-0.24,0.22
-0.26,0.2
-0.26,0.19
-0.34,0.27
-0.23,0.22
-0.26,0.19
-0.33,0.26
-0.26,0.18
-0.25,0.18
-0.28,0.14
-0.2,0.06
-0.24,0.1
-0.2,0.06
-0.28,0.13
-0.2,0.06
-0.21,0.12
-0.27,0.13
-0.27,0.13
-0.27,0.12
-0.27,0.12
-0.27,0.12
-0.23,0.08
-0.26,0.11
-0.26,0.11
-0.26,0.11
-0.26,0.11
-17.96,-83.14
-0.26,0.11
-0.25,0.1
-0.26,0.1
-0.25,0.1
-0.26,0.1
-0.25,0.09
-0.25,0.09
-0.23,0.12
-0.26,0.09
-0.25,0.09
-0.23,0.11
-0.17,0.01
-0.23,0.11
-0.17,0.0
-0.23,0.11
-0.18,0.06
-0.17,-0.0
-0.24,0.06
-0.16,-0.01
