x,y
-0.12,-0.03
-0.01,-0.31
-0.04,-0.34
0.12,-0.51
-0.04,-0.31
-0.06,-0.33
-0.05,-0.34
-0.26,-0.5
-0.03,-0.73
-0.22,-0.54
-20.87,-5.56
-0.2,-0.56
-0.21,-0.56
-0.03,-0.74
-0.04,-0.72
-0.08,-0.46
-0.11,-0.43
-0.02,-0.74
-0.02,-0.74
-0.01,-0.75
-0.01,-0.75
0.12,-0.62
-0.22,-0.55
-0.1,-0.3
-0.06,-0.32
-0.05,-0.32
-0.06,-0.32
-0.05,-0.31
-0.05,-0.33
-0.05,-0.33
-0.03,-0.33
-0.02,-0.35
-0.02,-0.36
-0.0,-0.38
-0.01,-0.35
-0.03,-0.35
-0.02,-0.36
-0.03,-0.35
-0.03,-0.33
-0.04,-0.32
-0.04,-0.32
-0.03,-0.35
-0.03,-0.35
-0.02,-0.34
-0.03,-0.35
-0.02,-0.36
-0.02,-0.34
-0.06,-0.32
-0.04,-0.33
-0.04,-0.33
