x,y
0.43,-0.42
0.07,-0.38
0.09,-0.37
15.5,-15.82
0.06,-0.37
0.06,-0.37
0.06,-0.37
29.15,-2.18
0.06,-0.37
0.06,-0.37
0.07,-0.36
0.07,-0.36
0.07,-0.36
0.07,-0.37
0.07,-0.37
0.07,-0.37
0.07,-0.37
0.07,-0.37
0.07,-0.37
0.07,-0.37
0.06,-0.38
0.07,-0.37
0.07,-0.37
0.06,-0.36
0.06,-0.39
0.06,-0.39
0.06,-0.39
0.05,-0.4
0.06,-0.39
0.05,-0.4
0.05,-0.4
0.06,-0.41
0.05,-0.4
0.05,-0.4
0.05,-0.41
0.04,-0.41
0.05,-0.41
0.06,-0.4
0.07,-0.41
0.08,-0.39
0.08,-0.39
0.08,-0.39
0.08,-0.39
0.08,-0.41
0.08,-0.4
0.08,-0.4
0.07,-0.4
0.08,-0.4
0.08,-0.4
0.09,-0.4
