x,y
0.26,-0.11
0.3,-0.54
0.23,-0.42
0.26,-0.51
0.26,-0.48
0.24,-0.48
0.25,-0.48
0.26,-0.49
0.24,-0.49
0.26,-0.49
0.24,-0.46
0.24,-0.47
0.24,-0.47
0.23,-0.48
0.24,-0.47
0.24,-0.49
0.26,-0.51
0.26,-0.51
0.26,-0.51
0.26,-0.5
0.27,-0.52
0.24,-0.48
0.22,-0.5
0.23,-0.51
0.24,-0.51
0.23,-0.52
0.23,-0.52
0.23,-0.51
0.24,-0.52
0.26,-0.5
0.31,-0.45
0.27,-0.51
0.27,-0.49
0.27,-0.49
0.23,-0.53
0.25,-0.5
0.26,-0.51
0.23,-0.51
0.23,-0.52
0.26,-0.51
0.26,-0.52
0.24,-0.53
0.26,-0.5
0.25,-0.53
0.25,-0.53
0.25,-0.48
0.26,-0.52
0.27,-0.49
0.27,-0.52
0.25,-0.54
