x,y
0.87,-0.81
0.2,-0.06
0.17,-0.1
0.19,-0.08
0.19,-0.08
0.19,-0.08
0.18,-0.1
0.18,-0.1
0.19,-0.09
0.18,-0.1
0.18,-0.1
0.22,-0.1
0.21,-0.09
0.21,-0.11
0.21,-0.09
0.23,-0.1
0.22,-0.11
0.22,-0.12
0.21,-0.12
0.22,-0.12
0.23,-0.11
0.22,-0.11
0.22,-0.08
0.21,-0.06
0.23,-0.08
0.22,-0.12
0.24,-0.1
0.24,-0.1
0.22,-0.08
0.24,-0.1
0.24,-0.1
0.25,-0.12
0.24,-0.11
0.24,-0.11
0.24,-0.11
0.24,-0.11
0.23,-0.1
0.23,-0.1
0.25,-0.1
0.24,-0.09
0.25,-0.1
0.26,-0.11
0.19,-0.15
0.22,-0.13
0.23,-0.14
0.22,-0.13
0.25,-0.12
0.21,-0.14
0.22,-0.15
0.2,-0.17
