x,y
0.15,-0.13
0.16,-0.04
0.13,-0.06
0.08,-0.01
0.08,-0.01
0.11,-0.02
0.11,-0.01
0.11,-0.04
0.1,-0.01
0.08,-0.02
0.14,-0.03
0.13,-0.02
0.09,-0.02
0.17,-0.07
0.14,-0.07
0.11,-0.03
0.17,-0.06
0.1,-0.01
0.08,-0.03
0.09,-0.02
0.14,-0.07
0.12,-0.02
0.13,-0.03
0.12,-0.05
0.11,-0.03
0.18,-0.08
0.16,-0.08
0.18,-0.07
0.15,-0.06
0.15,-0.07
0.09,-0.03
0.15,-0.09
0.14,-0.08
0.14,-0.08
0.14,-0.08
0.11,-0.04
0.1,-0.03
0.13,-0.09
0.14,-0.08
0.14,-0.08
0.16,-0.08
0.14,-0.08
0.1,-0.04
0.13,-0.05
0.11,-0.05
0.15,-0.09
0.15,-0.09
0.15,-0.09
0.15,-0.09
0.15,-0.09
