x,y
13.61,13.32
0.79,-0.43
0.8,-0.43
1.02,-0.64
0.7,-0.53
0.77,-0.45
1.03,-0.64
-22.25,22.61
1.05,-0.64
1.02,-0.65
1.04,-0.63
1.04,-0.63
1.02,-0.65
1.34,-0.96
1.71,-1.32
1.7,-1.33
1.83,-1.41
1.83,-1.41
1.82,-1.42
1.81,-1.42
1.83,-1.41
0.84,-0.47
0.81,-0.44
0.85,-0.47
0.85,-0.46
0.85,-0.48
0.87,-0.46
1.03,-0.64
0.86,-0.47
0.85,-0.48
1.03,-0.65
0.87,-0.48
0.87,-0.47
0.85,-0.49
0.86,-0.48
0.87,-0.47
0.88,-0.46
0.88,-0.46
0.86,-0.48
0.88,-0.46
1.05,-0.29
1.05,-0.29
1.04,-0.3
1.04,-0.31
1.03,-0.32
1.01,-0.26
0.44,-0.39
0.63,-0.57
0.64,-0.59
0.87,-0.81
