x,y
0.15,-0.09
0.48,0.33
0.4,0.27
0.4,0.27
0.4,0.27
0.42,0.26
0.42,0.25
0.49,0.33
0.42,0.25
0.5,0.33
0.42,0.25
0.23,0.07
0.5,0.33
0.54,0.37
0.5,0.32
0.55,0.37
0.41,0.26
0.54,0.37
0.55,0.37
0.54,0.36
0.42,0.24
0.42,0.25
0.49,0.31
0.56,0.35
0.44,0.22
0.55,0.36
0.56,0.35
0.43,0.22
0.45,0.22
0.37,0.15
0.46,0.21
0.51,0.29
0.53,0.27
0.51,0.3
0.44,0.22
0.52,0.28
0.42,0.24
-5.25,-5.49
0.53,0.27
0.44,0.22
-12.4,-12.66
0.51,0.28
0.46,0.2
0.46,0.2
0.44,0.22
0.44,0.22
0.44,0.22
0.43,0.23
0.32,0.07
0.44,0.22
