x,y
0.25,-0.54
0.46,-0.38
1.04,-0.92
1.22,-0.74
0.44,-0.39
0.41,-0.38
0.42,-0.39
0.43,-0.38
0.43,-0.39
0.41,-0.38
0.4,-0.37
0.41,-0.37
0.42,-0.38
0.42,-0.39
0.42,-0.39
0.42,-0.39
0.42,-0.39
0.41,-0.4
0.38,-0.41
0.43,-0.4
0.44,-0.41
0.44,-0.41
0.43,-0.41
0.44,-0.41
0.44,-0.41
0.42,-0.4
0.42,-0.4
0.39,-0.36
0.41,-0.41
0.43,-0.4
0.43,-0.42
0.43,-0.4
0.42,-0.41
0.43,-0.4
0.43,-0.37
0.43,-0.4
0.43,-0.4
16.65,-15.08
0.4,-0.4
0.42,-0.42
0.42,-0.42
0.42,-0.42
0.42,-0.42
0.43,-0.41
0.43,-0.38
0.42,-0.42
0.42,-0.42
0.43,-0.41
0.43,-0.41
0.43,-0.42
