0,1,2,3
-1714813108783362.0,-1714813108783092.5,-1714813108786844.0,-1714813108788364.5
-1714813108802849.5,-1714813108802622.0,-1714813108805533.0,-1714813108808754.5
-1714813108761042.5,-1714813108760851.5,-1714813108764845.5,-1714813108766849.0
-1714813108754581.0,-1714813108754824.0,-1714813108757857.5,-1714813108762551.5
-1714813108757935.5,-1714813108757521.0,-1714813108760571.0,-1714813108763554.0
-1714813108755534.0,-1714813108756039.5,-1714813108758658.5,-1714813108761077.5
-1714813108756167.5,-1714813108756029.0,-1714813108759228.0,-1714813108807905.5
-1714813108797136.5,-1714813108797264.5,-1714813108799699.0,-1714813108803368.5
-1714813108801408.0,-1714813108801607.0,-1714813108804105.5,-1714813108807928.5
-1714813108802012.0,-1714813108801764.5,-1714813108804404.0,-1714813108807846.0
-1714813108801179.0,-1714813108801116.5,-1714813108803782.0,-1714813108807290.5
-1714813108799402.5,-1714813108799190.5,-1714813108802134.5,-1714813108807977.5
-1714813108802621.5,-1714813108802318.0,-1714813108805019.0,-1714813108808500.0
-1714813108801898.0,-1714813108801713.5,-1714813108804421.0,-1714813108807992.0
-1714813108801560.5,-1714813108801210.0,-1714813108804072.5,-1714813108807897.5
-1714813108801524.5,-1714813108801377.5,-1714813108804255.0,-1714813108808007.0
-1714813108802145.5,-1714813108801926.0,-1714813108804841.5,-1714813108808070.5
-1714813108801896.0,-1714813108801740.5,-1714813108804560.5,-1714813108807943.5
-1714813108801821.0,-1714813108801655.5,-1714813108804452.0,-1714813108807931.5
-1714813108801651.5,-1714813108801731.5,-1714813108804396.5,-1714813108807989.5
-1714813108801600.0,-1714813108801704.0,-1714813108804381.5,-1714813108807686.0
-1714813108802051.5,-1714813108801878.0,-1714813108804542.5,-1714813108808428.0
-1714813108797241.5,-1714813108797187.0,-1714813108799805.0,-1714813108802599.0
-1714813108801103.5,-1714813108800805.5,-1714813108803695.0,-1714813108807994.0
-1714813108800737.0,-1714813108802326.5,-1714813108803283.0,-1714813108808837.0
-1714813108802180.0,-1714813108801797.0,-1714813108804248.5,-1714813108808003.5
-1714813108800481.5,-1714813108800584.5,-1714813108803032.0,-1714813108808675.0
-1714813108800319.0,-1714813108800061.5,-1714813108803099.0,-1714813108809892.0
-1714813108800373.0,-1714813108800435.5,-1714813108802911.5,-1714813108806676.0
-1714813108799931.0,-1714813108801685.5,-1714813108802647.5,-1714813108808019.5
-1714813108802487.0,-1714813108802396.0,-1714813108805029.0,-1714813108808762.0
-1714813108800907.5,-1714813108801499.5,-1714813108803518.0,-1714813108807819.0
-1714813108802044.0,-1714813108801869.0,-1714813108804080.0,-1714813108808128.0
-1714813108801673.5,-1714813108801468.0,-1714813108804351.5,-1714813108807802.0
-1714813108802678.5,-1714813108802610.0,-1714813108805408.0,-1714813108808883.0
-1714813108802434.5,-1714813108802121.5,-1714813108804977.5,-1714813108808433.0
-1714813108800337.5,-1714813108800312.0,-1714813108805812.5,-1714813108806759.0
-1714813108801268.0,-1714813108801270.0,-1714813108803894.0,-1714813108808146.5
-1714813108802021.0,-1714813108802021.5,-1714813108804755.0,-1714813108808174.0
-1714813108800891.5,-1714813108801577.0,-1714813108803536.0,-1714813108808031.5
-1714813108801543.0,-1714813108801208.5,-1714813108804272.0,-1714813108807811.5
-1714813108802286.0,-1714813108802107.5,-1714813108804919.0,-1714813108808381.5
-1714813108802570.5,-1714813108802458.0,-1714813108801980.5,-1714813108808620.0
-1714813108801571.5,-1714813108808601.5,-1714813108801854.5,-1714813108808166.0
-1714813108801774.5,-1714813108801790.0,-1714813108804320.0,-1714813108808179.5
-1714813108798168.5,-1714813108798203.5,-1714813108800737.0,-1714813108804741.0
-1714813108802195.0,-1714813108801899.0,-1714813108804944.5,-1714813108808256.5
-1714813108802003.5,-1714813108801779.0,-1714813108804611.5,-1714813108808332.5
-1714813108783856.5,-1714813108783956.0,-1714813108786589.0,-1714813108805202.0
-1714813108801613.5,-1714813108801876.5,-1714813108804291.0,-1714813108808257.5
-1714813108798544.0,-1714813108804974.0,-1714813108798869.5,-1714813108804878.5
-1714813108801696.5,-1714813108801664.5,-1714813108804336.5,-1714813108808101.0
-1714813108802366.5,-1714813108802212.0,-1714813108804712.0,-1714813108808866.5
-1714813108802157.5,-1714813108802019.0,-1714813108804704.0,-1714813108808385.5
-1714813108801481.5,-1714813108801760.0,-1714813108804018.0,-1714813108808200.5
-1714813108801491.5,-1714813108801645.5,-1714813108804128.0,-1714813108808230.5
-1714813108800857.5,-1714813108800677.5,-1714813108803298.0,-1714813108807184.5
-1714813108799895.5,-1714813108799857.5,-1714813108802351.5,-1714813108806426.0
-1714813108801537.5,-1714813108801615.5,-1714813108804202.0,-1714813108808088.0
-1714813108802564.0,-1714813108802685.0,-1714813108805068.5,-1714813108809334.5
-1714813108802029.0,-1714813108801977.0,-1714813108804697.5,-1714813108808362.5
-1714813108801055.5,-1714813108800872.0,-1714813108803662.5,-1714813108807524.5
-1714813108801898.0,-1714813108801755.0,-1714813108804384.5,-1714813108808489.5
-1714813108802634.0,-1714813108802506.0,-1714813108805288.0,-1714813108809050.5
-1714813108801944.5,-1714813108801863.0,-1714813108804508.0,-1714813108808333.0
-1714813108800645.0,-1714813108800489.0,-1714813108803114.5,-1714813108807180.0
-1714813108801560.0,-1714813108801659.0,-1714813108803716.0,-1714813108808368.0
-1714813108801944.0,-1714813108801874.0,-1714813108804476.5,-1714813108808369.0
-1714813108802748.5,-1714813108802523.0,-1714813108805209.5,-1714813108809215.5
-1714813108795654.0,-1714813108795748.5,-1714813108798281.0,-1714813108802784.0
-1714813108801297.0,-1714813108801519.5,-1714813108803852.5,-1714813108808275.5
-1714813108800897.0,-1714813108800975.5,-1714813108802955.0,-1714813108807652.5
-1714813108801350.0,-1714813108801263.5,-1714813108803935.0,-1714813108807807.0
-1714813108801633.5,-1714813108801759.5,-1714813108804179.0,-1714813108808292.5
-1714813108801619.0,-1714813108801610.0,-1714813108804250.5,-1714813108808385.5
-1714813108801772.5,-1714813108801690.0,-1714813108803970.5,-1714813108808437.0
-1714813108801874.0,-1714813108801793.5,-1714813108804395.0,-1714813108808507.0
-1714813108801687.5,-1714813108801733.0,-1714813108804122.5,-1714813108808483.0
-1714813108800731.5,-1714813108800539.5,-1714813108803424.5,-1714813108807828.5
-1714813108799983.5,-1714813108800005.5,-1714813108802595.0,-1714813108806681.0
-1714813108801758.0,-1714813108801873.0,-1714813108804219.5,-1714813108808457.0
-1714813108801757.5,-1714813108801945.5,-1714813108804331.5,-1714813108808544.5
-1714813108801201.5,-1714813108801440.0,-1714813108803729.0,-1714813108808207.0
-1714813108801705.0,-1714813108801630.5,-1714813108804144.0,-1714813108808549.0
-1714813108802283.0,-1714813108802229.0,-1714813108804801.0,-1714813108808934.5
-1714813108801948.5,-1714813108801762.5,-1714813108804417.0,-1714813108808423.5
-1714813108799132.5,-1714813108799432.5,-1714813108801614.5,-1714813108808649.5
-1714813108801789.5,-1714813108805139.0,-1714813108804134.0,-1714813108808599.5
-1714813108800975.0,-1714813108800934.0,-1714813108803439.5,-1714813108808010.5
-1714813108801670.5,-1714813108801690.0,-1714813108803689.0,-1714813108808532.5
-1714813108801641.0,-1714813108801558.0,-1714813108804383.5,-1714813108808691.0
-1714813108801853.5,-1714813108801811.5,-1714813108804342.5,-1714813108808661.5
-1714813108797973.5,-1714813108798227.5,-1714813108800706.0,-1714813108805124.5
-1714813108802860.0,-1714813108802798.5,-1714813108805552.5,-1714813108810353.0
-1714813108799777.0,-1714813108799637.0,-1714813108802308.5,-1714813108806712.0
-1714813108801980.0,-1714813108801949.5,-1714813108804536.5,-1714813108808992.5
-1714813108802303.5,-1714813108802057.5,-1714813108804759.5,-1714813108808882.5
-1714813108797670.5,-1714813108797725.0,-1714813108800203.0,-1714813108804750.0
-1714813108801808.0,-1714813108801934.0,-1714813108804421.0,-1714813108808835.5
-1714813108801156.0,-1714813108801234.5,-1714813108803632.5,-1714813108808282.0
-1714813108800392.0,-1714813108800364.5,-1714813108802961.0,-1714813108807320.5
-1714813108803007.5,-1714813108802907.0,-1714813108802605.5,-1714813108810055.0
-1714813108801321.0,-1714813108801563.0,-1714813108803852.5,-1714813108808537.0
-1714813108802496.5,-1714813108802290.5,-1714813108805102.0,-1714813108809494.0
-1714813108802546.5,-1714813108802397.0,-1714813108805156.5,-1714813108809299.5
-1714813108801674.5,-1714813108801812.5,-1714813108803745.0,-1714813108808635.5
-1714813108801660.0,-1714813108801645.0,-1714813108808193.5,-1714813108808730.5
-1714813108801870.0,-1714813108802121.0,-1714813108804513.5,-1714813108809025.0
-1714813108801669.0,-1714813108801904.5,-1714813108804337.0,-1714813108808826.0
-1714813108802458.5,-1714813108802484.5,-1714813108804819.5,-1714813108809024.5
-1714813108801584.5,-1714813108801662.0,-1714813108804151.5,-1714813108808645.0
-1714813108801521.0,-1714813108801706.5,-1714813108804043.0,-1714813108808761.5
-1714813108802449.0,-1714813108802275.5,-1714813108805085.5,-1714813108809366.0
-1714813108801707.5,-1714813108801839.5,-1714813108804379.5,-1714813108808964.0
-1714813108802544.5,-1714813108802544.5,-1714813108805055.0,-1714813108809841.5
-1714813108799642.5,-1714813108799682.5,-1714813108799554.5,-1714813108806774.0
-1714813108797466.5,-1714813108797620.5,-1714813108800059.0,-1714813108804729.0
-1714813108800317.5,-1714813108800306.5,-1714813108802662.0,-1714813108809775.5
-1714813108801909.5,-1714813108802043.0,-1714813108804546.0,-1714813108808987.0
-1714813108802701.5,-1714813108802766.5,-1714813108805297.0,-1714813108809712.5
-1714813108801760.5,-1714813108802067.0,-1714813108804298.5,-1714813108809205.5
-1714813108799386.0,-1714813108799228.0,-1714813108801597.0,-1714813108806516.0
-1714813108801338.0,-1714813108801397.0,-1714813108803860.5,-1714813108808988.5
-1714813108802217.0,-1714813108802221.5,-1714813108804746.0,-1714813108809259.5
-1714813108801792.0,-1714813108801878.5,-1714813108804276.5,-1714813108809009.0
-1714813108801754.0,-1714813108801648.5,-1714813108804223.0,-1714813108808993.5
-1714813108801325.0,-1714813108801646.5,-1714813108803746.5,-1714813108808780.0
-1714813108801671.5,-1714813108801584.0,-1714813108804136.0,-1714813108808897.5
-1714813108801162.0,-1714813108801190.0,-1714813108800848.0,-1714813108808430.0
-1714813108799602.0,-1714813108799620.5,-1714813108801893.5,-1714813108806749.5
-1714813108802849.5,-1714813108802948.0,-1714813108805463.0,-1714813108810167.5
-1714813108801486.0,-1714813108801634.0,-1714813108802332.5,-1714813108808948.0
-1714813108801800.0,-1714813108802851.0,-1714813108804287.0,-1714813108810216.5
-1714813108799806.5,-1714813108801680.0,-1714813108802392.5,-1714813108808942.5
-1714813108801854.0,-1714813108801955.0,-1714813108804387.5,-1714813108809045.0
-1714813108801775.0,-1714813108801852.0,-1714813108802232.5,-1714813108809220.5
-1714813108801707.0,-1714813108801746.5,-1714813108804159.0,-1714813108809225.5
-1714813108800129.0,-1714813108800070.5,-1714813108802849.5,-1714813108807396.0
-1714813108801507.5,-1714813108801748.5,-1714813108804030.0,-1714813108809102.5
-1714813108802471.0,-1714813108802359.5,-1714813108804940.5,-1714813108809478.0
-1714813108801842.5,-1714813108801915.0,-1714813108804344.0,-1714813108809023.0
-1714813108801856.5,-1714813108801891.5,-1714813108804498.5,-1714813108809115.0
-1714813108801318.0,-1714813108801464.0,-1714813108803861.0,-1714813108808878.0
-1714813108801429.5,-1714813108801493.0,-1714813108804109.5,-1714813108808816.5
-1714813108800618.0,-1714813108800725.0,-1714813108803161.0,-1714813108809705.0
-1714813108798740.0,-1714813108799019.0,-1714813108801360.0,-1714813108806976.5
-1714813108801365.5,-1714813108801614.5,-1714813108804003.5,-1714813108808928.0
-1714813108801188.5,-1714813108801321.0,-1714813108803800.0,-1714813108809102.0
-1714813108801835.5,-1714813108801958.0,-1714813108804218.5,-1714813108809262.5
-1714813108801534.0,-1714813108801653.0,-1714813108803967.0,-1714813108809110.5
-1714813108801682.5,-1714813108801726.5,-1714813108804318.5,-1714813108808998.0
-1714813108802467.5,-1714813108802661.5,-1714813108805058.5,-1714813108809782.5
-1714813108799119.5,-1714813108801900.0,-1714813108801416.5,-1714813108809198.0
-1714813108801888.5,-1714813108801910.0,-1714813108804353.5,-1714813108809197.0
-1714813108801827.5,-1714813108801858.0,-1714813108803715.0,-1714813108809236.0
-1714813108802370.0,-1714813108802473.0,-1714813108805099.0,-1714813108809863.0
-1714813108801424.0,-1714813108801834.0,-1714813108804130.0,-1714813108809163.5
-1714813108802068.5,-1714813108802167.0,-1714813108804321.0,-1714813108809383.5
-1714813108801800.5,-1714813108801822.0,-1714813108804238.5,-1714813108809038.0
-1714813108801710.0,-1714813108801890.0,-1714813108804301.5,-1714813108809601.5
-1714813108802699.5,-1714813108802614.5,-1714813108805128.0,-1714813108810043.0
-1714813108801472.5,-1714813108801731.5,-1714813108803908.0,-1714813108809185.0
-1714813108799696.5,-1714813108800063.0,-1714813108802410.5,-1714813108807535.5
-1714813108798218.5,-1714813108798301.5,-1714813108800834.5,-1714813108805629.0
-1714813108801184.5,-1714813108801381.0,-1714813108803658.0,-1714813108808958.5
-1714813108801409.0,-1714813108801667.5,-1714813108803941.5,-1714813108809189.0
-1714813108802504.5,-1714813108802800.0,-1714813108804966.0,-1714813108810139.0
-1714813108800591.0,-1714813108800658.0,-1714813108802998.0,-1714813108808204.0
-1714813108796449.5,-1714813108796707.0,-1714813108797341.0,-1714813108804217.0
-1714813108801871.5,-1714813108802362.5,-1714813108804248.0,-1714813108810192.0
-1714813108801381.5,-1714813108801512.0,-1714813108803294.5,-1714813108809183.5
-1714813108798939.0,-1714813108799050.5,-1714813108801587.5,-1714813108806575.5
-1714813108802842.0,-1714813108802918.5,-1714813108805154.0,-1714813108810792.0
-1714813108801599.0,-1714813108801552.0,-1714813108804029.0,-1714813108809431.0
-1714813108799436.0,-1714813108799730.0,-1714813108802076.0,-1714813108807758.0
-1714813108800098.0,-1714813108800420.0,-1714813108802731.0,-1714813108808520.5
-1714813108800942.0,-1714813108801853.0,-1714813108803412.5,-1714813108809512.5
-1714813108801373.5,-1714813108801423.5,-1714813108803895.5,-1714813108809439.5
-1714813108801707.5,-1714813108801777.0,-1714813108803596.0,-1714813108809324.5
